model,config,regime,bench_tokens_per_s,bench_req_per_s,kernel_rank,kernel_short,kernel_full_name,count,total_ms,mean_us,share_of_top5_pct
qwen3-30b-a3b-bf16,cookbook_baseline,R_decode_c128_out256,3784.9,14.785,1,fused_moe_kernel,fused_moe_kernel,9504,413.4,43.5,72.9
qwen3-30b-a3b-bf16,cookbook_baseline,R_decode_c128_out256,3784.9,14.785,2,flash_attention,void cutlass::device_kernel<flash::enable_sm90_or_later<flash::FlashAttnFwdSm90<flash::CollectiveMai,4608,56.2,12.2,9.9
qwen3-30b-a3b-bf16,cookbook_baseline,R_decode_c128_out256,3784.9,14.785,3,nvjet_gemm_64x32_64x16,nvjet_tst_64x32_64x16_4x1_v_bz_TNT,4608,37.13,8.06,6.5
qwen3-30b-a3b-bf16,cookbook_baseline,R_decode_c128_out256,3784.9,14.785,4,nvjet_gemm_64x32_64x16,nvjet_tst_64x32_64x16_4x1_v_bz_splitK_TNT,4608,35.48,7.7,6.3
qwen3-30b-a3b-bf16,cookbook_baseline,R_decode_c128_out256,3784.9,14.785,5,nvjet_gemm_64x8_64x16,nvjet_tst_64x8_64x16_2x4_v_bz_TNT,4608,24.65,5.35,4.3
qwen3-30b-a3b-bf16,big_batch_cap128,R_decode_c1_out2k,230.9,0.113,1,fused_moe_kernel,fused_moe_kernel,9504,116.5,12.26,46.8
qwen3-30b-a3b-bf16,big_batch_cap128,R_decode_c1_out2k,230.9,0.113,2,flash_attention,void cutlass::device_kernel<flash::enable_sm90_or_later<flash::FlashAttnFwdSm90<flash::CollectiveMai,4656,37.42,8.04,15.0
qwen3-30b-a3b-bf16,big_batch_cap128,R_decode_c1_out2k,230.9,0.113,3,nvjet_gemm_64x8_64x16,nvjet_tst_64x8_64x16_4x1_v_bz_TNT,4752,37.27,7.84,15.0
qwen3-30b-a3b-bf16,big_batch_cap128,R_decode_c1_out2k,230.9,0.113,4,nvjet_gemm_64x8_64x16,nvjet_tst_64x8_64x16_4x1_v_bz_splitK_TNT,4752,33.84,7.12,13.6
qwen3-30b-a3b-bf16,big_batch_cap128,R_decode_c1_out2k,230.9,0.113,5,nvjet_gemm_64x8_64x16,nvjet_tst_64x8_64x16_2x1_v_bz_TNT,4752,23.9,5.03,9.6
qwen3-30b-a3b-bf16,big_batch_cap128,R_conc_ref,3729.8,14.569,1,fused_moe_kernel,fused_moe_kernel,9504,415.24,43.69,73.0
qwen3-30b-a3b-bf16,big_batch_cap128,R_conc_ref,3729.8,14.569,2,flash_attention,void cutlass::device_kernel<flash::enable_sm90_or_later<flash::FlashAttnFwdSm90<flash::CollectiveMai,4608,56.03,12.16,9.9
qwen3-30b-a3b-bf16,big_batch_cap128,R_conc_ref,3729.8,14.569,3,nvjet_gemm_64x32_64x16,nvjet_tst_64x32_64x16_4x1_v_bz_TNT,4608,37.12,8.05,6.5
qwen3-30b-a3b-bf16,big_batch_cap128,R_conc_ref,3729.8,14.569,4,nvjet_gemm_64x32_64x16,nvjet_tst_64x32_64x16_4x1_v_bz_splitK_TNT,4608,35.46,7.7,6.2
qwen3-30b-a3b-bf16,big_batch_cap128,R_conc_ref,3729.8,14.569,5,nvjet_gemm_64x8_64x16,nvjet_tst_64x8_64x16_2x4_v_bz_TNT,4608,24.72,5.36,4.3
qwen3-30b-a3b-bf16,big_batch_cap128,R_decode_c128_out256,8983.9,35.093,1,fused_moe_kernel,fused_moe_kernel,9504,760.61,80.03,75.1
qwen3-30b-a3b-bf16,big_batch_cap128,R_decode_c128_out256,8983.9,35.093,2,flash_attention,void cutlass::device_kernel<flash::enable_sm90_or_later<flash::FlashAttnFwdSm90<flash::CollectiveMai,4176,146.97,35.19,14.5
qwen3-30b-a3b-bf16,big_batch_cap128,R_decode_c128_out256,8983.9,35.093,3,nvjet_gemm_64x32_64x16,nvjet_tst_64x32_64x16_1x2_h_bz_TNT,4128,41.29,10.0,4.1
qwen3-30b-a3b-bf16,big_batch_cap128,R_decode_c128_out256,8983.9,35.093,4,nvjet_gemm_80x64_64x11,nvjet_tst_80x64_64x11_1x2_h_bz_TNN,4128,34.51,8.36,3.4
qwen3-30b-a3b-bf16,big_batch_cap128,R_decode_c128_out256,8983.9,35.093,5,flashinfer_FusedAddRMSNorm,"void flashinfer::norm::FusedAddRMSNormKernel<8u, __nv_bfloat16>(__nv_bfloat16*, __nv_bfloat16*, __nv",9504,29.01,3.05,2.9
